tweet_id,timestamp,text,rating_numerator,rating_denominator,name,dog_stage,breed,favorite_count,retweet_count
666020888022790149,2015-11-15 22:32:08,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,10.0,10.0,,,welsh springer spaniel,2535,532
666029285002620928,2015-11-15 23:05:30,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,10.0,10.0,,,redbone,132,48
666033412701032449,2015-11-15 23:21:54,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,10.0,10.0,,,german shepherd,128,47
666044226329800704,2015-11-16 00:04:52,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,10.0,10.0,,,rhodesian ridgeback,311,147
666049248165822465,2015-11-16 00:24:50,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,10.0,10.0,,,miniature pinscher,111,41
666050758794694657,2015-11-16 00:30:50,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,10.0,10.0,,,bernese mountain dog,136,60
666051853826850816,2015-11-16 00:35:11,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,10.0,10.0,,,,1253,879
666055525042405380,2015-11-16 00:49:46,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,10.0,10.0,,,chow,448,261
666057090499244032,2015-11-16 00:55:59,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,10.0,10.0,,,golden retriever,304,146
666058600524156928,2015-11-16 01:01:59,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,10.0,10.0,,,miniature poodle,115,61
666063827256086533,2015-11-16 01:22:45,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,10.0,10.0,,,golden retriever,496,232
666071193221509120,2015-11-16 01:52:02,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,10.0,10.0,,,gordon setter,154,67
666073100786774016,2015-11-16 01:59:36,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,10.0,10.0,,,walker hound,335,174
666082916733198337,2015-11-16 02:38:37,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,10.0,10.0,,,pug,121,47
666094000022159362,2015-11-16 03:22:39,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,10.0,10.0,,,bloodhound,169,79
666099513787052032,2015-11-16 03:44:34,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,10.0,10.0,,,lhasa,164,73
666102155909144576,2015-11-16 03:55:04,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq,10.0,10.0,,,english setter,81,16
666104133288665088,2015-11-16 04:02:55,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX,10.0,10.0,,,,14765,6871
666268910803644416,2015-11-16 14:57:41,Very concerned about fellow dog trapped in computer. 10/10 https://t.co/0yxApIikpk,10.0,10.0,,,,108,37
666273097616637952,2015-11-16 15:14:19,Can take selfies 11/10 https://t.co/ws2AMaNwPW,10.0,10.0,,,italian greyhound,184,82
666287406224695296,2015-11-16 16:11:11,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv,9.0,10.0,,,maltese dog,152,71
666293911632134144,2015-11-16 16:37:02,This is a funny dog. Weird toes. Won't come down. Loves branch. Refuses to eat his food. Hard to cuddle with. 3/10 https://t.co/IIXis0zta0,10.0,10.0,,,,522,368
